Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Kenrich Williams,PF,28,OKC,3,2.0,.353,.382,4.7
Alex Caruso,PG,28,CHI,4,1.3,.294,.353,4.5
Malachi Flynn,PG,24,TOR,2,1.5,.500,.750,4.5
Javonte Green,SG,29,CHI,4,1.3,.385,.462,4.5
Serge Ibaka,PF,33,MIL,2,1.5,.500,.667,4.5
JaVale McGee,C,35,DAL,2,2.0,.571,.571,4.5
Daishen Nix,PG,20,HOU,2,1.5,.500,.500,4.5
Darius Bazley,PF,22,OKC,3,1.3,.400,.550,4.3
Robert Covington,SF,32,LAC,3,1.0,.273,.318,4.3
Torrey Craig,SF,32,PHO,3,1.7,.455,.591,4.3
Simone Fontecchio,SF,27,UTA,3,1.7,.556,.722,4.3
